[Fri Oct 24 17:46:52 UTC 2025] Fzfu | Location: X: -247 Y: 35 Z: 63 | Line: 0 | a
[Fri Oct 24 17:46:52 UTC 2025] Fzfu | Location: X: -247 Y: 35 Z: 63 | Line: 1 | 
[Fri Oct 24 17:46:52 UTC 2025] Fzfu | Location: X: -247 Y: 35 Z: 63 | Line: 2 | 
[Fri Oct 24 17:46:52 UTC 2025] Fzfu | Location: X: -247 Y: 35 Z: 63 | Line: 3 | 
[Fri Oct 24 17:50:32 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 0 | 
[Fri Oct 24 17:50:32 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 1 | 
[Fri Oct 24 17:50:32 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 2 | 
[Fri Oct 24 17:50:32 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 3 | 
[Fri Oct 24 17:50:35 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 0 | 
[Fri Oct 24 17:50:35 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 1 | 
[Fri Oct 24 17:50:35 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 2 | 
[Fri Oct 24 17:50:35 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 3 | 
[Fri Oct 24 17:50:41 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 0 | 
[Fri Oct 24 17:50:41 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 1 | 
[Fri Oct 24 17:50:41 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 2 | 
[Fri Oct 24 17:50:41 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 3 | 
[Fri Oct 24 17:50:43 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 0 | 
[Fri Oct 24 17:50:43 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 1 | 
[Fri Oct 24 17:50:43 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 2 | 
[Fri Oct 24 17:50:43 UTC 2025] Fzfu | Location: X: -246 Y: 36 Z: 57 | Line: 3 | 
[Fri Oct 24 23:57:51 UTC 2025] Fzfu | Location: X: -248 Y: 36 Z: 56 | Line: 0 | 
[Fri Oct 24 23:57:51 UTC 2025] Fzfu | Location: X: -248 Y: 36 Z: 56 | Line: 1 | 
[Fri Oct 24 23:57:51 UTC 2025] Fzfu | Location: X: -248 Y: 36 Z: 56 | Line: 2 | 
[Fri Oct 24 23:57:51 UTC 2025] Fzfu | Location: X: -248 Y: 36 Z: 56 | Line: 3 | 
[Sat Oct 25 00:16:50 UTC 2025] Fzfu | Location: X: -244 Y: 36 Z: 58 | Line: 0 | ew
[Sat Oct 25 00:16:50 UTC 2025] Fzfu | Location: X: -244 Y: 36 Z: 58 | Line: 1 | 
[Sat Oct 25 00:16:50 UTC 2025] Fzfu | Location: X: -244 Y: 36 Z: 58 | Line: 2 | 
[Sat Oct 25 00:16:50 UTC 2025] Fzfu | Location: X: -244 Y: 36 Z: 58 | Line: 3 | 
